0 0
11.19 0
13.21 4.912
14.02 0.82864
14.91 3.536
15.39 1.952
17.3 6.144
18.41 2.208
19.51 5.824
20.69 11.616
21.29 14.656
21.89 26.4
22.62 27.52
23.27 24.8
24.04 25.6
24.77 23.2
25.5 20
26.28 16.48
27.06 13.088
27.92 11.456
28.65 10.688
29.5 9.984
30.49 9.952
31.39 9.136
32.39 8.032
33.2 6.848
34.08 6.832
35.1 4.896
36.31 4.816
37.39 4.72
38.35 6.592
39.49 4.768
40.71 4.816
41.9 4.592
43.18 3.968
44.54 2.112
46.09 2.88
47.43 4.032
48.61 3.088
50.09 3.792
51.64 3.872
53.26 2.416
54.93 2.048
150 0.8
